Codigo,Razon Social,Rubro,Direccion,Correo,Telefono,Ciudad,Pais,Estado,Observaciones
20549810001,RZ20549810001,PESQUERA,Direccion Empresa 20001,contacto@RZ20549810001.com.pe,6187001,Lima,Peru,Activo,
20549810003,RZ20549810003,MANUFACTURA,Direccion Empresa 20002,contacto@RZ20549810003.com.pe,6188002,Lima,Peru,Activo,
20549810004,RZ20549810004,RETAIL,Direccion Empresa 20003,contacto@RZ20549810004.com.pe,6189003,Huanuco,Peru,Activo,
20549810006,RZ20549810006,RETAIL,Direccion Empresa 20004,contacto@RZ20549810006.com.pe,6190004,Chachapoyas,Peru,Activo,
20549810007,RZ20549810007,MANUFACTURA,Direccion Empresa 20005,contacto@RZ20549810007.com.pe,6191005,Talara,Peru,Activo,
20549810008,RZ20549810008,PESQUERA,Direccion Empresa 20006,contacto@RZ20549810008.com.pe,6192006,Trujillo,Peru,Activo,
20549810009,RZ20549810009,PESQUERA,Direccion Empresa 20007,contacto@RZ20549810009.com.pe,6193007,Tacna,Peru,Activo,
20549810010,RZ20549810010,RETAIL,Direccion Empresa 20008,contacto@RZ20549810010.com.pe,6194008,Tumbes,Peru,Activo,
10457812459,RZ10457812459,PESQUERA,Direccion Empresa 20009,contacto@RZ10457812459.com.pe,6195009,Piura,Peru,Activo,
20549810012,RZ20549810012,MANUFACTURA,Direccion Empresa 20010,contacto@RZ20549810012.com.pe,6196010,Moquegua,Peru,Activo,
20549810013,RZ20549810013,MANUFACTURA,Direccion Empresa 20011,contacto@RZ20549810013.com.pe,6197011,Ica,Peru,Activo,
20549810014,RZ20549810014,RETAIL,Direccion Empresa 20012,contacto@RZ20549810014.com.pe,6198012,Pisco,Peru,Activo,
